source,target,value
mac,safari,3
mac,runkeeper-ios,3
mac,rokit-5,3
mac,remote-ios,3
mac,remember-the-milk,3
mac,rebel-xt,3
mac,readynas-nv-plus,3
mac,rdio-ios,3
mac,ps3,3
mac,pro-tools-le,3
mac,photo-mechanic,3
mac,photo-booth,3
mac,peggle-ios,3
mac,papers,3
mac,paper-ios,3
mac,pandora-ios,3
mac,openoffice,3
mac,omnigraffle-pro,3
mac,omnifocus-ios,3
mac,objective-c,3
mac,nexus-7,3
mac,my-book-for-mac,3
mac,mlb-at-bat-ios,3
mac,mindnode-pro,3
mac,mbox,3
mac,macintosh-plus,3
mac,littlesnapper,3
mac,listary-ios,3
mac,keynote,3
mac,keyboard-maestro,3
mac,jerker,3
mac,issh-ios,3
mac,ibooks-ios,3
mac,google-drive,3
mac,google-analytics,3
mac,gimme-bar,3
mac,galaxy-s-ii,3
mac,galaxy-nexus,3
mac,g1,3
mac,fluid,3
mac,flash-builder,3
mac,filemaker-pro,3
mac,field-notes,3
mac,f.lux,3
mac,evernote-mac,3
mac,elements-desktop,3
mac,ef-70-200mm-f2.8l-is-usm,3
mac,ef-50mm-f1.8-ii,3
mac,ef-28mm-f2.8,3
mac,ef-24-70mm-f2.8l-usm,3
mac,ef-16-35mm-f2.8l-ii-usm,3
mac,due-ios,3
mac,default-folder-x,3
mac,d700,3
mac,d70,3
mac,d40,3
mac,d300,3
mac,convertbot-ios,3
mac,cloudapp,3
mac,carcassonne-ios,3
mac,byline-ios,3
mac,af-nikkor-50mm-f1.4d,3
mac,acrobat,3
linux,windows-vista,3
linux,vmware-fusion,3
linux,unity.2,3
linux,twitter-ios,3
linux,time-machine,3
linux,thunderbolt-display,3
linux,thinkpad-x220,3
linux,thinkpad-x201,3
linux,thinkpad-x200,3
linux,starcraft-2,3
linux,screen,3
linux,rhel,3
linux,raspberry-pi,3
linux,nexus-one,3
linux,nexus-7,3
linux,mx-518,3
linux,make,3
linux,magic-mouse,3
linux,iphone-3g,3
linux,hd-280-pro,3
linux,google-reader,3
linux,google-maps,3
linux,gnome,3
linux,fedora,3
linux,emacs,3
journalist,google-docs,3
interface,mac-pro,3
interface,keyboard,3
interface,ipad-2,3
interface,google-docs,3
interface,creative-suite,3
interface,cinema-display,3
illustrator,macbook-pro,3
illustrator,intuos,3
illustrator,cintiq,3
hardware,windows-7,3
hacker,windows-7,3
hacker,wes51,3
hacker,macbook-air,3
hacker,mac-os-x,3
game,word,3
game,windows-vista,3
game,wii,3
game,time-capsule,3
game,psp,3
game,openoffice,3
game,mail,3
game,mac-pro,3
game,mac-mini,3
game,kindle-ios,3
game,keyboard,3
game,google-reader,3
game,google-calendar,3
game,flash-builder,3
game,airport-extreme,3
game,after-effects,3
film,windows-7,3
film,mac-pro,3
film,intuos,3
film,final-cut-pro,3
film,cinema-display,3
entrepreneur,mail,3
editor,iphone-4,3
editor,instapaper-ios,3
editor,google-calendar,3
developer,wes51,3
developer,visual-c-plusplus,3
developer,unity.2,3
developer,twitterrific-ios,3
developer,tweetbot-ios,3
developer,thinkpad-x60,3
developer,thinkpad-x220,3
developer,thinkpad-x200,3
developer,superduper,3
developer,safari-ios,3
developer,rails,3
developer,ps3,3
developer,pro-tools,3
developer,photoshop-elements,3
developer,path-finder,3
developer,parallels-desktop,3
developer,papers,3
developer,objective-c,3
developer,notepad-plusplus,3
developer,nexus-7,3
developer,mbox,3
developer,istat-menus,3
developer,issh-ios,3
developer,happy-hacking-keyboard,3
developer,google-talk,3
developer,google-plus,3
